unique_key,created_date,complaint_category,borough,district,agency,supervisor,status,closed_date,hours_open,sla_hours,sla_breach,resolution_description
SR-2024-20000000,2024-06-14T10:51:04,UNSANITARY CONDITION,BROOKLYN,Crown Heights,HPD,Director Priya Nair,Open,,19.1,168,NO,
SR-2024-20000001,2024-06-15T04:42:58,Blocked Driveway,QUEENS,Forest Hills,NYPD,Lt. Marcus Webb,Closed,2024-06-15T20:00:41,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000002,2024-06-11T00:00:00,Street Condition,MANHATTAN,Chelsea,DOT,Dir. Samantha Chen,Closed,2024-06-13T11:38:55,,72,NO,A work order was issued for repair.
SR-2024-20000003,2024-06-14T20:39:32,Noise - Residential,MANHATTAN,Harlem,NYPD,Lt. Marcus Webb,Closed,2024-06-15T14:34:17,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000004,2024-06-15T00:53:01,Blocked Driveway,STATEN ISLAND,Stapleton,NYPD,Lt. Marcus Webb,Open,,5.1,24,NO,
SR-2024-20000005,2024-06-14T11:51:17,PLUMBING,STATEN ISLAND,Tottenville,HPD,Director Priya Nair,Open,,18.1,168,NO,
SR-2024-20000006,2024-06-11T09:00:00,UNSANITARY CONDITION,BRONX,Fordham,HPD,Director Priya Nair,Closed,2024-06-13T14:31:55,,168,NO,An inspection was conducted and a violation was issued.
SR-2024-20000007,2024-06-11T18:00:00,PAINT/PLASTER,QUEENS,Jackson Heights,HPD,Director Priya Nair,Closed,2024-06-13T21:09:42,,168,NO,An inspection was conducted and a violation was issued.
SR-2024-20000008,2024-06-08T13:00:00,HEAT/HOT WATER,QUEENS,Flushing,HPD,Director Priya Nair,Closed,2024-06-12T21:42:24,,168,NO,The building owner was notified and corrected the condition.
SR-2024-20000009,2024-06-15T03:49:59,Noise - Commercial,MANHATTAN,Harlem,NYPD,Lt. Marcus Webb,Open,,2.2,24,NO,
SR-2024-20000010,2024-06-14T11:13:50,HEAT/HOT WATER,BRONX,Mott Haven,HPD,Director Priya Nair,Closed,2024-06-22T02:50:14,,168,NO,An inspection was conducted and a violation was issued.
SR-2024-20000011,2024-06-15T00:10:22,HEAT/HOT WATER,BROOKLYN,Williamsburg,HPD,Director Priya Nair,Open,,5.8,168,NO,
SR-2024-20000012,2024-06-14T08:38:08,Water System,BROOKLYN,Flatbush,DEP,Mgr. Yvonne Blake,Closed,2024-06-14T23:27:49,,48,NO,The condition was investigated and corrected.
SR-2024-20000013,2024-06-09T00:00:00,Noise - Commercial,QUEENS,Astoria,NYPD,Lt. Marcus Webb,Closed,2024-06-09T22:49:22,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000014,2024-06-09T00:00:00,HEAT/HOT WATER,BROOKLYN,Flatbush,HPD,Director Priya Nair,Open,,150.0,168,NO,
SR-2024-20000015,2024-06-09T23:00:00,Blocked Driveway,BRONX,Fordham,NYPD,Lt. Marcus Webb,Closed,2024-06-10T19:24:26,,24,NO,"Upon arrival, the condition was no longer present."
SR-2024-20000016,2024-06-14T21:57:05,Blocked Driveway,BRONX,Fordham,NYPD,Lt. Marcus Webb,Open,,8.0,24,NO,
SR-2024-20000017,2024-06-14T16:40:08,Noise - Residential,QUEENS,Astoria,NYPD,Lt. Marcus Webb,Open,,13.3,24,NO,
SR-2024-20000018,2024-06-14T15:21:03,Elevator,MANHATTAN,Inwood,DOB,Insp. Tony Marchetti,Closed,2024-06-16T18:29:26,,96,NO,A building inspector was dispatched and the condition was addressed.
SR-2024-20000019,2024-06-08T14:00:00,Illegal Parking,MANHATTAN,Inwood,NYPD,Lt. Marcus Webb,Closed,2024-06-09T03:40:02,,24,NO,The Police Department responded to the complaint and took action.
SR-2024-20000020,2024-06-11T05:00:00,Noise - Commercial,MANHATTAN,East Village,NYPD,Lt. Marcus Webb,Open,,97.0,24,YES,
SR-2024-20000021,2024-06-10T19:00:00,PAINT/PLASTER,MANHATTAN,East Village,HPD,Director Priya Nair,Closed,2024-06-17T17:13:10,,168,NO,An inspection was conducted and a violation was issued.
SR-2024-20000022,2024-06-14T17:18:22,Noise - Residential,QUEENS,Jamaica,NYPD,Lt. Marcus Webb,Open,,12.7,24,NO,
SR-2024-20000023,2024-06-08T13:00:00,Derelict Vehicle,STATEN ISLAND,Stapleton,NYPD,Lt. Marcus Webb,Open,,161.0,24,YES,
SR-2024-20000024,2024-06-15T01:20:03,Illegal Parking,BRONX,Riverdale,NYPD,Lt. Marcus Webb,Open,,4.7,24,NO,
SR-2024-20000025,2024-06-11T03:00:00,Graffiti,BRONX,Tremont,DSNY,Supt. Carlos Rivera,Open,,99.0,48,YES,
